playlist_track_id,playlist_id,track_id,added_date
1,34,1146,2020-10-06
2,67,348,2024-08-11
3,120,271,2020-06-23
4,136,887,2021-05-04
5,81,91,2021-08-28
6,72,739,2023-05-09
7,68,1059,2022-07-06
8,81,1007,2026-03-18
9,113,109,2021-03-02
10,59,376,2020-08-09
11,42,957,2023-02-16
12,11,905,2022-12-18
13,125,938,2023-02-28
14,38,254,2022-02-07
15,73,370,2026-03-24
16,131,559,2024-11-19
17,55,1196,2020-09-25
18,147,370,2023-02-08
19,128,194,2022-01-10
20,32,808,2022-10-04
21,83,315,2020-02-15
22,123,930,2025-05-20
23,2,675,2020-11-20
24,116,666,2025-12-26
25,146,265,2021-01-26
26,73,662,2026-01-24
27,19,1121,2024-07-03
28,103,523,2021-04-25
29,103,183,2020-04-06
30,100,825,2022-11-25
31,40,247,2022-08-26
32,111,636,2025-10-05
33,92,197,2026-06-17
34,52,1003,2023-07-16
35,69,1154,2024-07-03
36,109,755,2024-03-14
37,110,191,2020-09-11
38,119,460,2025-11-23
39,40,1015,2024-11-21
40,135,172,2022-08-14
41,21,979,2022-03-05
42,77,510,2024-07-10
43,146,98,2024-02-02
44,132,221,2024-07-14
45,25,952,2025-12-19
46,65,728,2022-10-03
47,129,34,2020-12-22
48,119,368,2026-03-27
49,101,93,2020-07-23
50,77,643,2024-12-15
51,116,543,2022-03-07
52,48,161,2025-10-09
53,28,889,2024-01-01
54,102,239,2020-03-21
55,123,943,2025-07-28
56,125,621,2024-10-12
57,102,620,2020-03-05
58,4,391,2020-01-23
59,49,55,2021-08-21
60,38,496,2023-11-28
61,138,391,2020-05-25
62,119,304,2023-07-01
63,30,341,2021-12-23
64,114,994,2023-01-28
65,116,1199,2021-04-10
66,146,803,2020-06-01
67,27,885,2023-08-24
68,149,1136,2022-01-16
69,103,996,2024-10-24
70,125,475,2025-01-17
71,5,865,2024-06-18
72,17,549,2025-07-16
73,30,1014,2024-11-12
74,115,894,2020-03-10
75,50,962,2022-08-08
76,130,450,2024-11-11
77,120,269,2022-12-23
78,100,854,2026-11-21
79,93,968,2026-03-20
80,54,579,2025-12-03
81,124,265,2021-04-06
82,126,207,2026-07-16
83,78,481,2021-09-02
